| schema_name    |
| -------------- |
| auth           |
| backup         |
| extensions     |
| graphql        |
| graphql_public |
| public         |
| realtime       |
| storage        |
| vault          || table_name                  | ordinal_position | column_name            | data_type                | pg_type             | is_nullable | column_default                 |
| --------------------------- | ---------------- | ---------------------- | ------------------------ | ------------------- | ----------- | ------------------------------ |
| app_settings                | 1                | key                    | text                     | text                | NO          | null                           |
| app_settings                | 2                | value                  | jsonb                    | jsonb               | NO          | '{}'::jsonb                    |
| app_settings                | 3                | updated_at             | timestamp with time zone | timestamptz         | NO          | now()                          |
| batch_profit_realized       | 1                | batch_id               | uuid                     | uuid                | YES         | null                           |
| batch_profit_realized       | 2                | batch_created_at       | timestamp with time zone | timestamptz         | YES         | null                           |
| batch_profit_realized       | 3                | note                   | text                     | text                | YES         | null                           |
| batch_profit_realized       | 4                | order_day              | timestamp with time zone | timestamptz         | YES         | null                           |
| batch_profit_realized       | 5                | cogs_cents             | bigint                   | int8                | YES         | null                           |
| batch_profit_realized       | 6                | revenue_cents          | bigint                   | int8                | YES         | null                           |
| batch_profit_realized       | 7                | profit_cents           | bigint                   | int8                | YES         | null                           |
| daily_profit                | 1                | day                    | date                     | date                | YES         | null                           |
| daily_profit                | 2                | orders_count           | bigint                   | int8                | YES         | null                           |
| daily_profit                | 3                | revenue_cents          | bigint                   | int8                | YES         | null                           |
| daily_profit                | 4                | cogs_cents             | numeric                  | numeric             | YES         | null                           |
| daily_profit                | 5                | profit_cents           | numeric                  | numeric             | YES         | null                           |
| daily_profit_pipeline       | 1                | day                    | date                     | date                | YES         | null                           |
| daily_profit_pipeline       | 2                | orders_count           | bigint                   | int8                | YES         | null                           |
| daily_profit_pipeline       | 3                | revenue_cents          | bigint                   | int8                | YES         | null                           |
| daily_profit_pipeline       | 4                | cogs_cents             | numeric                  | numeric             | YES         | null                           |
| daily_profit_pipeline       | 5                | profit_cents           | numeric                  | numeric             | YES         | null                           |
| daily_profit_realized       | 1                | day                    | date                     | date                | YES         | null                           |
| daily_profit_realized       | 2                | orders_count           | bigint                   | int8                | YES         | null                           |
| daily_profit_realized       | 3                | revenue_cents          | bigint                   | int8                | YES         | null                           |
| daily_profit_realized       | 4                | cogs_cents             | numeric                  | numeric             | YES         | null                           |
| daily_profit_realized       | 5                | profit_cents           | numeric                  | numeric             | YES         | null                           |
| delivery_requests           | 1                | id                     | uuid                     | uuid                | NO          | gen_random_uuid()              |
| delivery_requests           | 2                | created_at             | timestamp with time zone | timestamptz         | NO          | timezone('utc'::text, now())   |
| delivery_requests           | 3                | student_name           | text                     | text                | NO          | null                           |
| delivery_requests           | 4                | student_contact        | text                     | text                | NO          | null                           |
| delivery_requests           | 5                | item_description       | text                     | text                | NO          | null                           |
| delivery_requests           | 6                | store_location         | text                     | text                | YES         | null                           |
| delivery_requests           | 7                | notes                  | text                     | text                | YES         | null                           |
| delivery_requests           | 8                | payment_method         | text                     | text                | NO          | null                           |
| delivery_requests           | 9                | delivery_fee           | numeric                  | numeric             | NO          | null                           |
| delivery_requests           | 10               | estimated_item_cost    | numeric                  | numeric             | YES         | null                           |
| delivery_requests           | 11               | total_cost             | numeric                  | numeric             | YES         | null                           |
